,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,ID_2,Name_2,Age_2,Sex_2
0,004670cb-47f5-40a4-87d8-5276c18616ec,Person1,veggie,21,male,maybe,3.0,8.673368271555807,50.5941282715558,,,,
1,01a099db-22e1-4fc3-bbf5-db738bc2c10b,Person2,none,26,male,yes,1.0,8.718914539788807,50.590899839788804,,,,
2,01be5c1f-4aa1-458d-a530-b1c109ffbb55,Person3,vegan,22,male,yes,,8.681372017093311,50.5820794170933,117ee996-14d3-44e8-8bcb-eb2d29fddda5,Personx1,25.0,male
3,01c1372d-d120-4459-9b65-39d56d1ad430,Person4,veggie,23,male,yes,1.0,8.683278559866123,50.58156255986612,ab81bb52-28b6-47dc-8d54-8d7c42ceaea1,Personx2,24.0,female
4,033d5f60-5853-4931-8b38-1d3da9910e6d,Person5,meat,28,male,yes,2.0,8.681891196038887,50.576791396038885,,,,
5,03ec42b3-de71-424d-a51d-f8a3977dac38,Person6,none,24,male,no,2.0,,,,,,
6,04b46884-c678-450a-a38e-9087bb67bf97,Person7,veggie,25,female,yes,2.0,8.661605134221313,50.57631493422131,c9fb104a-dd47-43c2-9714-e483839c1941,Personx3,21.0,female
7,05381170-b888-4457-a5f8-a528ac763236,Person8,none,26,female,yes,1.0,8.668413178974852,50.574996578974854,,,,
8,060800e6-8a64-4131-a292-22e5e1626b67,Person9,none,22,male,no,2.0,,,,,,
9,06082fb2-4297-4cf0-8840-c246d99f9700,Person10,vegan,30,male,yes,2.0,8.719772776126227,50.591925376126234,,,,
10,06d17797-9452-49e2-8e46-e1067a5fb901,Person11,veggie,21,female,yes,2.0,8.681190328226592,50.57991322822659,b5c6ef89-f72e-42e3-81cb-79b418e0fbce,Personx4,23.0,female
11,07b46a18-a534-4c2c-b154-ec28c1aae8a7,Person12,none,25,female,no,1.0,,,,,,
12,07b7446a-9d8b-478b-b3e9-e95b992fcf50,Person13,none,27,male,yes,2.0,8.674109948270395,50.5764905482704,,,,
13,08a7b852-9074-43bd-bc68-b2940fdf6bb9,Person14,none,25,male,no,-1.0,,,,,,
14,08f022cf-64f7-4b42-b3ae-01d24679c734,Person15,vegan,23,female,no,,,,,,,
15,0979c6b8-6a54-41e0-938e-92e9bb86fdf7,Person16,vegan,23,male,yes,4.0,8.683101670107648,50.584839070107655,84a6cc47-cbf4-4fe3-9cce-c388d8a45e57,Personx5,23.0,female
16,0b9f4fb1-bfdb-4b2d-afc7-919ae82c6d70,Person17,meat,24,female,maybe,1.0,8.688248785207652,50.58700358520764,,,,
17,0bd876d2-7c12-48ba-bcf2-ecc016e2e024,Person18,none,29,male,no,4.0,,,,,,
18,0c6a98a2-8c1f-4865-a43c-dc11c56f45dc,Person19,vegan,21,female,yes,3.0,8.677666037868752,50.593429237868754,1467edce-ad7c-47b6-8b4f-b23d197867d8,Personx6,21.0,female
19,0d005a3f-2e48-4b4d-9c8d-b222996ebad1,Person20,none,22,male,yes,,8.713355020601862,50.60878552060185,,,,
20,0d9df266-6187-4179-b258-881e0ad6d638,Person21,none,26,male,yes,,8.685734197139844,50.576635397139846,f3d3a0fd-8bcf-482b-94e1-a02947511509,Personx7,23.0,female
21,0e2d3b13-73b0-4d20-9a80-dd422504d04a,Person22,none,24,male,no,,,,,,,
22,10cf2d4e-541e-4707-8867-4fb296806696,Person23,veggie,23,female,maybe,2.0,8.669084504431382,50.58412450443137,,,,
23,112a5f61-0708-4071-acaf-2e005a427c58,Person24,meat,25,female,yes,3.0,8.676057363906686,50.586267363906686,471805da-0f86-4307-a9d5-138f839a3bb0,Personx8,22.0,male
24,141d3e33-bd78-4c74-b269-621278dd4788,Person25,veggie,26,male,yes,2.0,8.67437965355096,50.585509553550956,c7e6b279-c7c2-46fb-8751-7d97b0f9ffee,Personx9,25.0,female
25,14a89517-2e29-4bda-8ee6-733d502a41f5,Person26,veggie,28,female,yes,,8.67299054580773,50.576247145807734,d6199378-cf84-4fe9-9f1a-a04ae5039c76,Personx10,24.0,female
26,157329ba-094f-470d-ba76-84d96cd85096,Person27,veggie,25,female,yes,1.0,8.68117388238734,50.57964918238733,,,,
27,15abe192-f8d9-4958-89fb-a1b84b26204c,Person28,vegan,23,female,maybe,3.0,8.678239596150528,50.59166039615053,,,,
28,176e1b97-0101-4d0c-b519-75d6dbda35af,Person29,none,26,male,yes,1.0,8.690711820698867,50.598416220698866,,,,
29,1836d0a1-4a1e-40bc-810a-3ae011f961b0,Person30,veggie,25,female,no,1.0,,,,,,
30,196b3469-9e46-482b-9365-1b7d088b6394,Person31,none,28,male,no,3.0,,,,,,
31,19aab249-bbdf-4d6e-813f-24cc1c2af397,Person32,none,32,male,yes,2.0,8.715372110353728,50.58857771035373,e0cbe770-75f8-4b51-8622-e63f8436134f,Personx11,31.0,female
32,1a1a63a4-4557-4f12-bb54-cb82c51b26b7,Person33,veggie,25,female,yes,1.0,8.668840259833873,50.58220355983387,e0f91641-3263-42b9-becc-19ed66f84cdc,Personx12,26.0,male
33,1ad190d0-a95a-4f74-85b1-22f4812aab1b,Person34,none,23,female,no,2.0,,,,,,
34,1af22822-ab72-4483-9918-f017fe05a71a,Person35,meat,20,female,yes,1.0,8.6884154438459,50.5780036438459,84f0275b-a393-4505-a15e-c29a1cc5602d,Personx13,23.0,female
35,1c30b2f3-ef9e-4f23-bcc8-73b885fd11c5,Person36,veggie,23,female,yes,,8.66139991973554,50.577341819735544,69e3e25d-88a3-4d70-be6b-a0e55286e460,Personx14,26.0,female
36,1d363c90-7332-4f02-bba3-692704d862e9,Person37,none,26,male,no,3.0,,,,,,
37,1e3bed45-21d6-474d-9425-c16f206fb982,Person38,vegan,23,female,yes,3.0,8.68087643265624,50.579335732656226,b7e6003d-f02c-4749-9674-f33e0eb56a70,Personx15,29.0,male
38,21487e36-1815-4de0-875b-f649f2364320,Person39,none,23,male,yes,1.0,8.691501482641602,50.5856505826416,,,,
39,217bc984-371e-4303-bb87-064c172614db,Person40,veggie,23,female,yes,4.0,8.677676558333479,50.589846758333486,f4a5e941-ba8a-4aec-8574-384abcfcf7b3,Personx16,25.0,male
40,223d9272-505e-46e4-973e-18a12ec5e5cc,Person41,none,25,female,yes,1.0,8.662779615006515,50.578473215006504,9064fb5e-50a0-4422-bc62-4fccd74ba8f0,Personx17,30.0,male
41,23a51616-cfb7-46c0-8481-393c474fd230,Person42,none,19,female,yes,-1.0,8.698184706391327,50.604206006391344,6037f547-056f-44bb-9d33-6b3d4629ce07,Personx18,19.0,female
42,24fce62a-1b5d-40c6-ac9c-26b9ec59c59c,Person43,none,24,male,yes,2.0,8.67073904401206,50.57969724401207,,,,
43,25376a46-5175-4809-b83b-61639674b053,Person44,veggie,23,female,no,,,,,,,
44,256be822-fdb6-49b7-aa65-87484bda1fc4,Person45,vegan,21,female,yes,1.0,8.678769443500073,50.57918034350008,b41bc0da-cd62-4b6f-b9cb-06e4415197b9,Personx19,25.0,male
45,2636ebda-bb11-45a5-a276-af31de84bcf4,Person46,none,21,female,yes,2.0,8.67700965640616,50.587075956406174,,,,
46,2ac04303-c6cc-4f94-b68c-fa54049d5c66,Person47,none,24,male,yes,1.0,8.68003563518013,50.59493573518013,655f3c71-d4fb-486b-9245-58c05a7695a9,Personx20,27.0,female
47,2b5b3dc7-2db3-4755-8383-8eeb3c2cda73,Person48,none,32,male,yes,4.0,8.676833411700072,50.587137211700075,3a7d7e29-fd7d-4217-b913-e89f846e023b,Personx21,26.0,female
48,2c505c9b-e472-4449-bb4f-b992163030b9,Person49,none,22,female,yes,1.0,8.678883636644958,50.587188736644954,53767e91-54a7-413c-bd48-e8ad2db50d90,Personx22,23.0,male
49,2d2ce645-2b94-4d34-92f1-02c9c68c012f,Person50,none,23,female,yes,3.0,8.669987238017324,50.585691138017324,eb20fc4e-a45f-4e5b-b6e4-61b45f85d066,Personx23,23.0,female
50,2e4c6d4f-caf8-4b18-96c0-748a4011a738,Person51,vegan,24,female,yes,,8.668340710895189,50.583463310895176,4f3626bf-e765-4456-8c3d-d363f991114f,Personx24,21.0,other
51,2f438a06-8528-417a-abf0-6952b19e1b7b,Person52,veggie,22,female,yes,3.0,8.669987238017324,50.585691138017324,d8cfc7d0-6d38-4ada-b304-9285e60acaac,Personx25,22.0,female
52,302a8a85-8e25-49e5-9e7f-58979d7a8c47,Person53,none,32,male,yes,2.0,8.66552468117139,50.58983868117138,,,,
53,3149d95e-620a-46f4-a52b-e3e0eb46c767,Person54,veggie,22,male,yes,3.0,8.673517508857538,50.586979008857526,5bea6592-1141-4362-89ab-2624fae2dbc4,Personx26,22.0,male
54,347c3414-68d9-4c04-b250-3f3d0962b62f,Person55,none,33,male,no,1.0,,,,,,
55,34dd657f-1127-4cdb-8bbb-2c0093032e4f,Person56,none,25,male,no,3.0,,,,,,
56,352b16d0-0132-4188-a2bc-0345f2c127a1,Person57,vegan,23,female,yes,1.0,8.680141420721181,50.59395562072118,e0d23073-6a3b-4c4f-8c57-ad7329cb6972,Personx27,21.0,female
57,35f0273f-9b1a-43bf-ab6f-f71d4b12b555,Person58,vegan,27,female,no,,,,,,,
58,375e6c54-1939-4776-b8b1-ccf6e5c9453b,Person59,none,22,female,yes,1.0,8.684555849276553,50.58498324927655,4daa7a5f-a0ba-4801-baa9-9c2ebe2cf5c4,Personx28,24.0,female
59,3773162e-acb3-4187-8c24-ccd5d05548ab,Person60,veggie,23,female,maybe,1.0,8.668144436221954,50.58572953622196,,,,
60,38ab3623-7bc7-45d4-befb-18daa64d716b,Person61,veggie,25,female,yes,3.0,8.67598973297304,50.585041532973044,,,,
61,392807a5-b58d-45ee-9efe-956bdc102fec,Person62,veggie,26,female,no,2.0,,,,,,
